Name,Sub Category,Plan,AUM,Expense Ratio,Absolute Returns - 3M,Absolute Returns - 6M,Absolute Returns - 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,Alpha,Volatility,Category St Dev,SEBI Risk Category
Aditya Birla SL Active Debt Multi-Mgr FoF,FoFs (Domestic) - Debt Oriented,Growth,15.80,0.33,2.42,4.09,7.90,5.72,6.63,7.77,0.67,0.82,2.02,Moderate
Aditya Birla SL Bal Bhavishya Yojna,Solution Oriented - Children's Fund,Growth,1112.63,0.64,14.03,18.53,32.39,15.75,18.37,0.00,-1.88,15.12,11.70,Very High
Aditya Birla SL Financial Planning FOF Aggressive Plan,FoFs (Domestic) - Equity Oriented,Growth,222.29,0.41,12.52,17.32,33.96,17.60,20.66,14.44,0.74,11.61,12.86,Very High
Aditya Birla SL Global Emerging Opp Fund,FoFs (Overseas),Growth,263.83,0.57,1.28,3.01,20.42,4.91,13.17,5.49,0.00,14.95,14.84,Very High
Aditya Birla SL Global Excellence Equity FoF,FoFs (Overseas),Growth,196.71,0.68,2.57,5.93,25.58,9.63,9.25,7.03,0.00,14.63,14.84,Very High
Aditya Birla SL Gold Fund,FoFs - Gold,Growth,345.69,0.15,-0.75,10.66,19.29,13.55,11.52,8.82,0.00,13.10,14.28,High
Aditya Birla SL Multi-Index FoF,FoFs (Domestic) - Equity Oriented,Growth,16.54,0.35,10.35,15.36,36.71,0.00,0.00,0.00,0.00,12.05,12.86,Very High
Aditya Birla SL NASDAQ 100 FOF,FoFs (Overseas),Growth,383.72,0.32,0.21,6.56,22.86,0.00,0.00,0.00,0.00,16.79,14.84,Very High
Aditya Birla SL US Treasury 1-3 year Bond ETFs FoF,FoFs (Overseas),Growth,83.80,0.19,3.42,4.80,0.00,0.00,0.00,0.00,0.00,2.65,14.84,Very High
Aditya Birla SL US Treasury 3-10 year Bond ETFs FoF,FoFs (Overseas),Growth,247.10,0.17,5.22,6.23,0.00,0.00,0.00,0.00,0.00,5.71,14.84,Very High
