Name,Sub Category,Plan,AUM,% Debt Holding,% Equity Holding,% Largecap Holding,% Midcap Holding,% Other Holdings,% Smallcap Holding,PE Ratio,Category PE Ratio,Sharpe Ratio,Sortino Ratio
Aditya Birla SL Active Debt Multi-Mgr FoF,FoFs (Domestic) - Debt Oriented,Growth,15.7952,0,0,0,0,0,0,0,0,4.752827655,0.5589
Aditya Birla SL Bal Bhavishya Yojna,Solution Oriented - Children's Fund,Growth,1112.6283,0,0,56.85933029,15.50908781,0,26.3559807,0,0,1.770007627,0.1557
Aditya Birla SL Financial Planning FOF Aggressive Plan,FoFs (Domestic) - Equity Oriented,Growth,222.28810000000001,0,0,0,0,0,0,0,0,2.376413828,0.2134
Aditya Birla SL Global Emerging Opp Fund,FoFs (Overseas),Growth,263.8345,0,0,0,0,0,0,0,0,1.189000639,0.1266
Aditya Birla SL Global Excellence Equity FoF,FoFs (Overseas),Growth,196.7082,0,0,0,0,0,0,0,0,1.552526869,0.1683
Aditya Birla SL Gold Fund,FoFs - Gold,Growth,345.68739999999997,0,0,0,0,0,0,0,0,1.127090059,0.1208
Aditya Birla SL Multi-Index FoF,FoFs (Domestic) - Equity Oriented,Growth,16.5443,0,0,0,0,0,0,0,0,2.465311072,0.2207
Aditya Birla SL NASDAQ 100 FOF,FoFs (Overseas),Growth,383.7171,0,0,0,0,0,0,0,0,1.241386515,0.1261
Aditya Birla SL US Treasury 1-3 year Bond ETFs FoF,FoFs (Overseas),Growth,83.8019,0,0,0,0,0,0,0,0,1.289010039,0.1558
Aditya Birla SL US Treasury 3-10 year Bond ETFs FoF,FoFs (Overseas),Growth,247.09689999999998,0,0,0,0,0,0,0,0,1.335046112,0.1539
Axis All Seasons Debt FOFs,FoFs (Domestic) - Debt Oriented,Growth,136.305,0,0,0,0,0,0,0,0,2.566907922,0.2703
Axis Children's Gift Fund-Compulsory Lock in,Solution Oriented - Children's Fund,Growth,904.393398,0,0,49.25343042,9.78958283,0,14.15110106,0,0,1.930340157,0.1798
Axis Children's Gift Fund-No Lock in,Solution Oriented - Children's Fund,Growth,904.393398,0,0,49.25343042,9.78958283,0,14.15110106,0,0,1.952564468,0.1819
Axis Equity ETFs FoF,FoFs (Domestic) - Equity Oriented,Growth,22.541601,0,0,0,0,0,0,0,0,2.768514172,0.2849
Axis Global Equity Alpha FoF,FoFs (Overseas),Growth,856.6007000000001,0,0,0,0,0,0,0,0,1.377907283,0.1326
Axis Global Innovation FoF,FoFs (Overseas),Growth,534.134,0,0,0,0,0,0,0,0,1.382669635,0.1355
Axis Gold Fund,FoFs - Gold,Growth,500.49,0,0,0,0,0,0,0,0,1.165188877,0.127
Axis Greater China Equity FoF,FoFs (Overseas),Growth,206.2748,0,0,0,0,0,0,0,0,-0.327014862,-0.0367
Axis NASDAQ 100 FoF,FoFs (Overseas),Growth,171.8624,0,0,0,0,0,0,0,0,1.274722982,0.1306
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF,FoFs (Domestic) - Debt Oriented,Growth,291.41900000000004,0,0,0,0,0,0,0,0,1.682697834,0.1833
Axis US Treasury Dynamic Bond ETF FoF,FoFs (Overseas),Growth,94.7114,0,0,0,0,0,0,0,0,0.461948179,0.0495
Bandhan All Seasons Bond Fund,FoFs (Domestic) - Debt Oriented,Growth,121.67649999999999,0,0,0,0,0,0,0,0,4.960783708,0.5792
Bandhan Asset Alloc FoF-Aggr,FoFs (Domestic) - Equity Oriented,Growth,18.632,0,0,0,0,0,0,0,0,2.80502554,0.2797
