Name,Sub Category,Plan,AUM,Time since inception,Benchmark,Exit Load,Lock-in,Minimum Lumpsum,Minimum SIP,NAV
Aditya Birla SL Active Debt Multi-Mgr FoF,FoFs (Domestic) - Debt Oriented,Growth,15.7952,141,CRISIL Composite Bond Index,0.25,0,100,0,36.924
Aditya Birla SL Bal Bhavishya Yojna,Solution Oriented - Children's Fund,Growth,1112.6283,68,NIFTY 500 - TRI,0,5,1000,0,22.52
Aditya Birla SL Financial Planning FOF Aggressive Plan,FoFs (Domestic) - Equity Oriented,Growth,222.28810000000001,141,CRISIL Hybrid 35+65 - Aggressive Index,1,0,100,1000,57.9355
Aditya Birla SL Global Emerging Opp Fund,FoFs (Overseas),Growth,263.8345,141,MSCI AC World Index,0.25,0,100,0,24.9067
Aditya Birla SL Global Excellence Equity FoF,FoFs (Overseas),Growth,196.7082,141,MSCI World,0.25,0,100,0,33.1316
Aditya Birla SL Gold Fund,FoFs - Gold,Growth,345.68739999999997,141,Gold-India,1,0,100,1000,21.9754
Aditya Birla SL Multi-Index FoF,FoFs (Domestic) - Equity Oriented,Growth,16.5443,24,NIFTY 500 - TRI,0.5,0,100,100,15.5919
Aditya Birla SL NASDAQ 100 FOF,FoFs (Overseas),Growth,383.7171,35,Nasdaq-100 - TRI,0,0,0,0,13.0275
Aditya Birla SL US Treasury 1-3 year Bond ETFs FoF,FoFs (Overseas),Growth,83.8019,12,Bloomberg US Treasury 1-3 Year Index,0.25,0,0,0,10.6596
Aditya Birla SL US Treasury 3-10 year Bond ETFs FoF,FoFs (Overseas),Growth,247.09689999999998,12,Bloomberg US Treasury 3-10 Year Index,0.25,0,0,0,11.0618
Axis All Seasons Debt FOFs,FoFs (Domestic) - Debt Oriented,Growth,136.305,57,NIFTY Composite Debt Index,0.5,0,100,0,13.6992
Axis Children's Gift Fund-Compulsory Lock in,Solution Oriented - Children's Fund,Growth,904.393398,106,NIFTY 50 Hybrid Composite Debt 65:35 Index,0,5,5000,100,29.0183
Axis Children's Gift Fund-No Lock in,Solution Oriented - Children's Fund,Growth,904.393398,106,NIFTY 50 Hybrid Composite Debt 65:35 Index,3,0,0,100,29.5351
Axis Equity ETFs FoF,FoFs (Domestic) - Equity Oriented,Growth,22.541601,32,NIFTY 500 - TRI,1,0,5000,0,16.6139
Axis Global Equity Alpha FoF,FoFs (Overseas),Growth,856.6007000000001,49,MSCI World,1,0,100,1000,17.1366
Axis Global Innovation FoF,FoFs (Overseas),Growth,534.134,41,MSCI ACWI Industrials,1,0,100,100,12.84
Axis Gold Fund,FoFs - Gold,Growth,500.49,141,Gold-India,1,0,100,12000,23.2113
Axis Greater China Equity FoF,FoFs (Overseas),Growth,206.2748,44,MSCI Golden Dragon Index (Total Return Net),1,0,100,0,6.84
Axis NASDAQ 100 FoF,FoFs (Overseas),Growth,171.8624,23,Nasdaq-100 - TRI,1,0,0,0,16.9346
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF,FoFs (Domestic) - Debt Oriented,Growth,291.41900000000004,36,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,0,0,5000,0,11.5733
Axis US Treasury Dynamic Bond ETF FoF,FoFs (Overseas),Growth,94.7114,10,Bloomberg US Intermediate Treasury - TRI,0.25,0,0,0,10.5665
Bandhan All Seasons Bond Fund,FoFs (Domestic) - Debt Oriented,Growth,121.67649999999999,141,NIFTY Medium Duration Debt Index,0,0,1000,100,42.9858
Bandhan Asset Alloc FoF-Aggr,FoFs (Domestic) - Equity Oriented,Growth,18.632,141,CRISIL Hybrid 35+65 - Aggressive Index,1,0,1000,100,48.4263
Bandhan US Equity FoF,FoFs (Overseas),Growth,304.509,38,Russell 1000 Index,1,0,1000,100,14.131
Bandhan US Treasury Bond 0-1 year FoF,FoFs (Overseas),Growth,151.23860000000002,19,ICE 0-1 Year US Treasury Securities Index,0.1,0,0,0,10.947
Baroda BNP Paribas Aqua FoF,FoFs (Overseas),Growth,53.317,41,MSCI World,1,0,5000,0,12.86
BHARAT Bond ETF FOF - April 2032,FoFs (Domestic) - Debt Oriented,Growth,4435.2508,34,NIFTY BHARAT Bond Index - April 2032,0.1,0,100,100,11.7492
BHARAT Bond ETF FOF - April 2033,FoFs (Domestic) - Debt Oriented,Growth,2209.0566,22,NIFTY BHARAT Bond Index - April 2033,0.1,0,100,100,11.5094
BHARAT Bond FOF - April 2025,FoFs (Domestic) - Debt Oriented,Growth,4694.348,51,NIFTY BHARAT Bond Index - April 2023,0.1,0,100,0,12.3076
BHARAT Bond FOF - April 2030,FoFs (Domestic) - Debt Oriented,Growth,6847.4089,58,NIFTY BHARAT Bond Index - April 2030,0.1,0,100,100,13.9829
BHARAT Bond FOF - April 2031,FoFs (Domestic) - Debt Oriented,Growth,4566.4753,51,NIFTY BHARAT Bond Index - April 2031,0.1,0,100,100,12.5045
DSP Global Allocation FoF,FoFs (Overseas),Growth,64.7879,122,MSCI ACWI Net TRI,0,0,100,0,21.0009
DSP Global Innovation FoF,FoFs (Overseas),Growth,830.6247999999999,32,MSCI ACWI Net TRI,0,0,100,100,13.6268
DSP Gold ETF FoF,FoFs - Gold,Growth,31.6944,11,Gold-London AM (INR),0,0,100,0,11.5873
DSP US Flexible Equity Fund,FoFs (Overseas),Growth,903.7355,142,Russell 1000 Index,0,0,100,100,58.7232
DSP US Treasury FoF,FoFs (Overseas),Growth,68.1694,7,S&P US Treasury Bond Index,0.1,0,0,0,10.7349
DSP World Agriculture Fund,FoFs (Overseas),Growth,14.135,142,MSCI ACWI Net TRI,0,0,100,100,19.4792
DSP World Energy Fund,FoFs (Overseas),Growth,138.3071,142,MSCI World Energy 30% Buffer 10/40 Net Total Return,0,0,100,100,18.786
DSP World Gold FoF,FoFs - Gold,Growth,954.5812,142,FTSE Gold Mines,0,0,100,100,22.3477
DSP World Mining Fund,FoFs (Overseas),Growth,136.29229999999998,142,MSCI ACWI Metals & Mining 30% Buffer 10/40 (1994) Net TRI,0,0,100,0,16.7458
Edelweiss ASEAN Equity Off-Shore Fund,FoFs (Overseas),Growth,60.4323,141,MSCI AC ASEAN 10/40 Index,1,0,100,100,30.514
Edelweiss Emerging Markets Opp Eq. Offshore Fund,FoFs (Overseas),Growth,108.9333,123,MSCI Emerging Market Index,1,0,100,0,16.1079
Edelweiss Europe Dynamic Equity Off-shore Fund,FoFs (Overseas),Growth,78.2613,128,MSCI Europe Index (Total Return Net),1,0,100,100,21.4784
Edelweiss Gold and Silver ETF FoF,FoFs - Gold,Growth,100.3196,25,Silver,0.1,0,100,100,14.191
Edelweiss Gr China Equity Off-Shore Fund,FoFs (Overseas),Growth,1225.3215,141,MSCI Golden Dragon Index (Total Return Net),1,0,100,0,36.718
Edelweiss US Technology Equity FOF,FoFs (Overseas),Growth,2162.4545000000003,55,Russell 1000 Equal Weighted Technology Index,1,0,100,0,22.9198
Edelweiss US Value Equity Offshore Fund,FoFs (Overseas),Growth,108.6939,134,Russell 1000 Index,1,0,100,100,33.4547
Franklin India Feeder - Franklin U.S. Opportunities Fund,FoFs (Overseas),Growth,3433.0045660729998,141,Russell 3000 Growth Index,1,0,5000,0,74.2592
Franklin India Feeder - Templeton European Opportunities Fund,FoFs (Overseas),Growth,16.1795008,125,MSCI Europe Index (Total Return Net),1,0,5000,500,12.1057
Groww Nifty EV & New Age Automotive ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,0,2,Nifty EV and New Age Automotive - TRI,1,0,500,0,10.3786
HDFC Developed World Indexes FoF,FoFs (Overseas),Growth,1245.6297,36,MSCI World,1,0,0,0,13.763
HDFC Gold Fund,FoFs - Gold,Growth,2067.9856,142,Gold-India,1,0,100,100,22.8499
HSBC Asia Pacific (Ex Japan) DYF,FoFs (Overseas),Growth,6.42887938,128,MSCI Asia (ex-Japan) Standard Index,1,0,5000,1500,22.4544
HSBC Brazil Fund,FoFs (Overseas),Growth,36.36682441,141,MSCI Brazil 10/40 Index,1,0,5000,0,7.7565
HSBC Global Emerging Markets Fund,FoFs (Overseas),Growth,34.12759969,141,MSCI Emerging Market Index,1,0,5000,0,19.9837
HSBC Global Equity Climate Change FoF,FoFs (Overseas),Growth,110.4062383,43,MSCI AC World Index,1,0,5000,1000,10.4474
HSBC Managed Solutions India-Growth,FoFs (Domestic) - Equity Oriented,Growth,44.898705406999994,126,BSE 200 - TRI,1,0,5000,500,42.206
HSBC Managed Solutions India-Moderate,FoFs (Domestic) - Equity Oriented,Growth,59.89726646,126,CRISIL Hybrid 35+65 - Aggressive Index,1,0,5000,1500,36.8477
ICICI Pru Bharat 22 FOF,FoFs (Domestic) - Equity Oriented,Growth,1896.500642,76,BSE Bharat 22 Index,0,0,5000,0,34.3763
ICICI Pru BSE 500 ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,123.04426900799999,34,BSE 500 - TRI,0,0,1000,5000,16.3166
ICICI Pru Child Care Fund-Gift Plan,Solution Oriented - Children's Fund,Growth,1364.242447,141,NIFTY 50 Hybrid Composite Debt 65:35 Index,0,0,5000,500,348.73
ICICI Pru Debt Mgmt Fund,FoFs (Domestic) - Debt Oriented,Growth,127.28474381710001,141,CRISIL Composite Bond Index,0.25,0,100,0,43.6124
ICICI Pru Global Advantage Fund,FoFs (Overseas),Growth,309.8157607,60,BSE SENSEX - TRI,1,0,0,0,15.4212
ICICI Pru Global Stable Equity Fund,FoFs (Overseas),Growth,119.8916567,133,MSCI World,1,0,0,0,28.16
ICICI Pru India Equity,FoFs (Domestic) - Equity Oriented,Growth,130.9968477,56,BSE 500 - TRI,1,0,500,0,31.7268
ICICI Pru Nifty 100 Low Volatility 30 ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,1221.649716,42,Nifty100 Low Volatility 30 - TRI,0,0,1000,100,18.9744
ICICI Pru Nifty Alpha Low - Volatility 30 ETF FOF,FoFs (Domestic) - Equity Oriented,Growth,626.1166779,37,NIFTY Alpha Low-Volatility 30 - TRI,0,0,1000,0,17.0303
