Name,"Sub Category","Plan","AUM","Expense Ratio","Absolute Returns - 3M","Absolute Returns - 6M","Absolute Returns - 1Y","CAGR 3Y","CAGR 5Y","CAGR 10Y","Alpha","Volatility","Category St Dev","SEBI Risk Category"
SBI Liquid Fund,"Liquid Fund","Growth","67570.4796","0.19","1.7701496505472607","3.681182567594117","7.392054439496641","6.039349733303467","5.276527320953495","6.402386933305282","0","0.0698478346121052","0.14793296880059284","Moderate"
HDFC Liquid Fund,"Liquid Fund","Growth","62050.7088","0.2","1.7713659092636433","3.683203840818768","7.389195330088457","6.030297856415778","5.250717997658394","6.399696605124672","-0.16","0.07143528539874394","0.14793296880059284","Moderately Low"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","51273.5065","0.21","1.7937712547890527","3.7347308629525147","7.470298247302508","6.120670204020828","5.360979805162391","6.5141386382162825","0","0.0730227361853827","0.14793296880059284","Moderate"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","50596.8696022885","0.2","1.7821866374517765","3.7150865730043114","7.432454880063867","6.0434009380081255","5.308400416373016","6.452728721619683","-0.16999999999999998","0.07461018697202146","0.14793296880059284","Moderate"
Kotak Liquid Fund,"Liquid Fund","Growth","37470.7457","0.2","1.778259886398565","3.69387435751678","7.40901650009035","6.043764474380109","5.26096256998605","6.406026128495768","0","0.16509488181043044","0.14793296880059284","Moderately Low"
Nippon India Liquid Fund,"Liquid Fund","Growth","32552.3187","0.2","1.7814680149660425","3.7087736867133083","7.4413100352598","6.079053521297029","5.330963860178506","6.493185331935858","0","0.0730227361853827","0.14793296880059284","Moderately Low"
HDFC Corp Bond Fund,"Corporate Bond Fund","Growth","29726.309500000003","0.36","2.4926691064409425","4.4554805712880325","8.237935139702058","6.07866127661667","7.072365738147068","8.025339090567352","0","0.7286399110671883","0.7547622481357313","Moderate"
SBI Savings Fund,"Money Market Fund","Growth","28686.060299999997","0.25","1.8837534501314217","3.882473257142017","7.643318671005217","6.272679400112624","6.0044737612265475","7.202177095522377","0","0.3222525096876671","0.32482266810412996","Moderate"
Tata Money Market Fund,"Money Market Fund","Growth","27628.3316257544","0.15","1.917932507393597","3.97085350566996","7.867129919767504","6.458875649841311","6.182537376431707","6.2487411130176085","0","0.33336466519413843","0.32482266810412996","Moderately Low"
HDFC Money Market Fund,"Money Market Fund","Growth","27510.5627","0.23","1.880162694085635","3.8740562340009568","7.656679032379074","6.311158327927768","6.0993548029375955","6.991224333054946","0","0.3174901573277509","0.32482266810412996","Moderately Low"
Axis Liquid Fund,"Liquid Fund","Growth","27339.164","0.15","1.7850480985185304","3.7117986150045374","7.445542950990018","6.092910786672356","5.330151928907201","6.480713354723067","0","0.0730227361853827","0.14793296880059284","Moderate"
ICICI Pru Corp Bond Fund,"Corporate Bond Fund","Growth","27056.369188343902","0.35","2.2406417675277033","4.193518392687268","7.935849322224154","6.479575128284365","7.22518375948058","7.967840629015432","0","0.671491682748193","0.7547622481357313","Moderate"
Aditya Birla SL Money Manager Fund,"Money Market Fund","Growth","26499.2287","0.22","1.8979942142410504","3.916458031283359","7.75822941352661","6.376186189673461","6.1431712020450835","7.087994531234698","0","0.32542741126094465","0.32482266810412996","Moderate"
ICICI Pru Money Market Fund,"Money Market Fund","Growth","26267.5975892344","0.21","1.8881048124980908","3.8774876867304777","7.656749926984716","6.276059980996873","5.987495035885826","6.939563760498646","0","0.3270148620475834","0.32482266810412996","Moderate"
Kotak Money Market Fund,"Money Market Fund","Growth","24036.3526","0.23","1.880109627232742","3.8842598622355013","7.680610722334072","6.306558265460005","5.881813372475486","6.892639135002665","0","0.3301897636208609","0.32482266810412996","Moderately Low"
UTI Liquid Fund,"Liquid Fund","Growth","23290.8167","0.18","1.7782574087222582","3.6965611393786775","7.414462406931109","6.079882278610627","5.309811853864832","6.449460747372937","0","0.06826038382546644","0.14793296880059284","Moderate"
Tata Liquid Fund,"Liquid Fund","Growth","22261.9516825171","0.21","1.7724720148096311","3.684124195878354","7.423851676670692","6.048497995554425","5.316534099665504","6.465855293345557","-0.12","0.06508548225218894","0.14793296880059284","Moderately Low"
Aditya Birla SL Corp Bond Fund,"Corporate Bond Fund","Growth","21436.8831","0.34","2.5342257872720975","4.3728351698045556","8.335390255449497","6.213780413982328","7.247538844381718","8.070726040106923","0","0.9667575290630015","0.7547622481357313","Moderate"
SBI Corp Bond Fund,"Corporate Bond Fund","Growth","20176.1918","0.35","2.3836604145556355","4.214787892395559","7.848533255881497","5.790828369377055","6.666700809161785","0","0","0.7222901079206332","0.7547622481357313","Moderate"
ICICI Pru Savings Fund,"Low Duration Fund","Growth","19744.036004164","0.42","2.036046369433908","4.109990802318799","7.808801198123506","6.238944026008841","6.6001442555784","7.510146847175658","0","0.39686269665968865","0.3507186339977337","Moderately Low"
ICICI Pru Short Term Fund,"Short Duration Fund","Growth","19611.1169957426","0.45","2.3334271866138385","4.304221714309142","8.342530456969886","6.852758352804034","7.658466439237799","8.458266083505993","0","0.7667387299465185","0.7327617131096891","Moderate"
DSP Liquidity Fund,"Liquid Fund","Growth","18699.203999999998","0.1","1.7940348617501503","3.7129142018354986","7.437290786321263","6.063747615795578","5.283481516569166","6.443643111951025","-0.13","0.0698478346121052","0.14793296880059284","Moderately Low"
HSBC Liquid Fund,"Liquid Fund","Growth","18418.605412527","0.12","1.7804994402944432","3.701818356286696","7.437183688553279","6.083462668007877","5.284458720888208","6.439193254476527","0","0.0730227361853827","0.14793296880059284","Moderately Low"
HDFC Low Duration Fund,"Low Duration Fund","Growth","17940.4548","0.45","2.0521433419774757","4.122746579915616","7.801216337456425","6.356784071095323","6.672974999402315","7.479307662420642","0","0.3698760332868298","0.3507186339977337","Moderately Low"
Nippon India Money Market Fund,"Money Market Fund","Growth","17694.4915","0.25","1.8860166840205697","3.894578557904014","7.722489148352754","6.392552071376523","6.0252067400405895","6.983527539528489","0","0.32860231283422214","0.32482266810412996","Moderately Low"
SBI Overnight Fund,"Overnight Fund","Growth","16624.5081","0.07","1.6223548804391477","3.3086563310625587","6.765704724771885","5.644623738813914","4.802354349366755","5.78309643390118","0","0.007937253933193772","0.07728646618282911","Low"
Kotak Bond Short Term Fund,"Short Duration Fund","Growth","16078.8771","0.37","2.4648596399371625","4.343164271917467","8.192050351553634","6.034036759488259","6.924693630177159","7.9353701725007","0","0.8207120566922361","0.7327617131096891","Moderate"
HDFC Floating Rate Debt Fund,"Floating Rate Fund","Growth","15189.3868","0.26","2.376400301942635","4.547670710602379","8.28124431342578","6.533211501153491","6.988668838097878","7.649904254254025","0","0.49687209621793016","0.6831869834415932","Moderately Low"
UTI Money Market Fund,"Money Market Fund","Growth","15169.7073","0.19","1.8845696563498022","3.885698862319417","7.671470861450306","6.340605609291572","5.978319972062862","6.969339218107029","0","0.32860231283422214","0.32482266810412996","Moderate"
