Name,Sub Category,Plan,AUM,% Debt Holding,% Equity Holding,% Largecap Holding,% Midcap Holding,% Other Holdings,% Smallcap Holding,PE Ratio,Category PE Ratio,Sharpe Ratio,Sortino Ratio
360 ONE Dynamic Bond Fund,Dynamic Bond Fund,Growth,789.7781891,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.41,0.37
360 ONE Liquid Fund,Liquid Fund,Growth,1071.553027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.52,0.84
Aditya Birla SL Banking & PSU Debt,Banking & PSU Fund,Growth,9406.5218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.87,0.53
Aditya Birla SL Corp Bond Fund,Corporate Bond Fund,Growth,21436.8831,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,0.47
Aditya Birla SL Credit Risk Fund,Credit Risk Fund,Growth,914.2492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.74,0.75
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,Gilt - Short & Mid Term Fund,Growth,416.1379,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,0.52
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund,Corporate Bond Fund,Growth,243.0382,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.55,1.12
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund,Corporate Bond Fund,Growth,1646.4241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,0.68
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund,Corporate Bond Fund,Growth,51.1211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,0.84
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund,Gilt - Short & Mid Term Fund,Growth,336.5805,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.68
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund,Gilt - Short & Mid Term Fund,Growth,28.4259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,0.39
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund,Gilt - Short & Mid Term Fund,Growth,691.2588,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.33
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund,Gilt - Short & Mid Term Fund,Growth,87.8513,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.22,0.37
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund,Gilt - Short & Mid Term Fund,Growth,19.6268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.25,1.37
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund,Gilt - Short & Mid Term Fund,Growth,142.507,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.32
Aditya Birla SL Dynamic Bond Fund,Dynamic Bond Fund,Growth,1687.6208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,0.27
Aditya Birla SL Floating Rate Fund,Floating Rate Fund,Growth,12671.5286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.07,1.03
Aditya Birla SL FTP-TI-1837D,Fixed Maturity Plans,Growth,297.9719,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.52,0.81
Aditya Birla SL FTP-TJ-1838D,Fixed Maturity Plans,Growth,24.3287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,0.81
Aditya Birla SL FTP-TQ-1879D,Fixed Maturity Plans,Growth,205.4482,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.94,0.61
Aditya Birla SL FTP-UB-1224D,Fixed Maturity Plans,Growth,23.9159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.68
Aditya Birla SL FTP-UJ-1110D,Fixed Maturity Plans,Growth,71.6715,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.32,0.70
Aditya Birla SL G-Sec Fund,Gilt - Short & Mid Term Fund,Growth,1865.6864,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.26
Aditya Birla SL G-Sec Fund,Gilt - Short & Mid Term Fund,Growth,1865.6864,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.26
Aditya Birla SL Income Fund,Medium to Long Duration Fund,Growth,2012.1001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.21
Aditya Birla SL Inv Inc-QS I,Debt - Interval Fund,Growth,33.4876,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.23,1.50
Aditya Birla SL Liquid Fund,Liquid Fund,Growth,51273.5065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.32,0.37
Aditya Birla SL Long Duration Fund,Long Duration Fund,Growth,122.4336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.25
Aditya Birla SL Low Duration Fund,Low Duration Fund,Growth,10832.5499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.78,1.19
Aditya Birla SL Medium Term Plan,Medium Duration Fund,Growth,1868.9118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55,0.43
Aditya Birla SL Money Manager Fund,Money Market Fund,Growth,26499.2287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.33,1.46
Aditya Birla SL Nifty SDL Apr 2027 Index Fund,Gilt - Short & Mid Term Fund,Growth,4292.7093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.57,0.76
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund,Corporate Bond Fund,Growth,10801.6698,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.05,0.80
Aditya Birla SL Nifty SDL Sep 2025 Index Fund,Gilt - Short & Mid Term Fund,Growth,76.2832,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.15,1.01
Aditya Birla SL Nifty SDL Sep 2027 Index Fund,Gilt - Short & Mid Term Fund,Growth,39.5988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.54,0.59
Aditya Birla SL Overnight Fund,Overnight Fund,Growth,8823.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.77,0.18
Aditya Birla SL Savings Fund,Ultra Short Duration Fund,Growth,13722.2792,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,1.41
Aditya Birla SL Short Term Fund,Short Duration Fund,Growth,8315.201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.77,0.55
Axis Banking & PSU Debt Fund,Banking & PSU Fund,Growth,13679.1244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.37,0.61
Axis Corp Debt Fund,Corporate Bond Fund,Growth,5511.3934,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.23,0.55
Axis Credit Risk Fund,Credit Risk Fund,Growth,440.6464976,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.86
Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund,Gilt - Short & Mid Term Fund,Growth,70.4626,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.49
Axis CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index Fund,Gilt - Short & Mid Term Fund,Growth,32.950301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.56,0.56
Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund,Corporate Bond Fund,Growth,572.688301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.07,1.05
Axis CRISIL IBX SDL June 2034 Debt Index Fund,Gilt - Short & Mid Term Fund,Growth,21.182401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.35
Axis CRISIL IBX SDL May 2027 Index Fund,Gilt - Short & Mid Term Fund,Growth,2180.3009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.74,0.57
Axis Dynamic Bond Fund,Dynamic Bond Fund,Growth,1685.232699,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.63,0.37
Axis Floater Fund,Floating Rate Fund,Growth,255.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05,0.34
Axis FTP-112-1143D,Fixed Maturity Plans,Growth,74.3434,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,0.63
Axis FTP-113-1228D,Fixed Maturity Plans,Growth,89.622502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.63,0.66
Axis Gilt Fund,Gilt - Short & Mid Term Fund,Growth,436.0897,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.32
Axis Liquid Fund,Liquid Fund,Growth,27339.164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.01,0.37
Axis Long Duration Fund,Long Duration Fund,Growth,347.695199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.23
Axis Money Market Fund,Money Market Fund,Growth,12947.5682,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.23,1.47
Axis Nifty SDL Sep 2026 Debt Index Fund,Gilt - Short & Mid Term Fund,Growth,79.5662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.18,0.73
Axis Overnight Fund,Overnight Fund,Growth,8181.1252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.91,0.19
Axis Short Term Fund,Short Duration Fund,Growth,8413.5702,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.38,0.60
Axis Strategic Bond Fund,Medium Duration Fund,Growth,1941.861402,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.54,0.51
Axis Treasury Advantage Fund,Low Duration Fund,Growth,4961.632302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,1.24
