Name,"Sub Category","Plan","AUM","Expense Ratio","Absolute Returns - 3M","Absolute Returns - 6M","Absolute Returns - 1Y","CAGR 3Y","CAGR 5Y","CAGR 10Y","Alpha","Volatility","Category St Dev","SEBI Risk Category"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","75956.2195","0.63","10.42738085481292","14.535058242239895","38.125717800491095","19.230972142558734","27.63962393531734","19.32150482550994","3.7900000000000005","10.939123370727657","12.009669089922003","Very High"
HDFC Mid-Cap Opportunities Fund,"Mid Cap Fund","Growth","75382.2973","0.72","15.173210920723967","21.522535748552137","47.60671159786577","30.237290615784886","32.234142904870744","20.741140920578506","2.1999999999999997","15.730049844803418","16.199678092884174","Very High"
ICICI Pru Bluechip Fund,"Large Cap Fund","Growth","62717.10726408129","0.87","12.299915754001685","15.023969319271336","40.9753231492362","20.727225686597393","23.123615633822546","15.904559524017326","2.88","12.653570220297512","13.610663794571686","Very High"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","61571.566699999996","0.77","12.23147225758467","18.311217327457094","43.5418615130704","27.465248827288203","25.977182562764114","16.344112098174655","4.26","11.796346795512584","12.009669089922003","Very High"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","60999.554800000005","0.63","18.657682895471574","26.80541957569251","46.89692146987394","33.26492986693146","40.331058060685685","25.070506322552298","2.25","16.74760579903886","16.28750641951873","Very High"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","53783.0998","0.57","10.094573826693463","17.33970037925082","36.02623276466465","17.318304752878255","21.12050639985914","16.596691525348326","-1.11","15.017284441602616","12.009669089922003","Very High"
SBI BlueChip Fund,"Large Cap Fund","Growth","51243.7149","0.8","10.598852091723314","17.686557178677187","29.889727741685263","15.79999143762878","20.519726131155693","15.078496683067243","0.54","11.491556244477943","13.610663794571686","Very High"
Kotak Emerging Equity Fund,"Mid Cap Fund","Growth","50601.8367","0.34","17.274389180086647","30.856214239767088","47.837478604282026","25.690400156184534","32.0863987601824","22.064284770918796","2.4899999999999998","15.276038919824735","16.199678092884174","Very High"
ICICI Pru Value Discovery Fund,"Value Fund","Growth","48805.9704822583","0.99","15.707659237470306","18.033884221216876","44.806592286345364","27.002661763714286","28.67418359638276","17.634873341827316","4.87","11.191528045803219","15.249834309412938","Very High"
Mirae Asset Large Cap Fund,"Large Cap Fund","Growth","41352.174731143","0.53","13.985401986701183","17.505138722248574","29.85846293003319","14.102476538478115","19.65016850428505","15.647401792856064","-0.6799999999999999","12.712305899403145","13.610663794571686","Very High"
Mirae Asset Large & Midcap Fund,"Large & Mid Cap Fund","Growth","39706.0005088459","0.58","14.67025213663837","18.280810161345695","37.88588213636837","17.935732327059316","26.047223668140916","21.375226547030547","0.12","14.391828831666947","14.850980073478558","Very High"
Axis ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","38278.403503","0.78","12.054700896928365","20.89425775207356","36.7102754915725","9.902350493734048","18.30712585035339","15.235303719908133","2.18","12.312268301170178","14.372334404642753","Very High"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","38115.283599999995","0.75","13.072351191276772","23.880286290641006","43.684100737458216","29.968727683759866","29.045958876586987","17.31992014031778","1.68","14.599784884716623","14.929170479189015","Very High"
SBI Contra Fund,"Contra Fund","Growth","37845.691699999996","0.59","13.927138373105617","17.541731563368003","44.70618331682633","29.76016293857111","33.98705468320231","18.38314099834344","2.7","14.002903388940453","14.782253533469714","Very High"
HDFC Top 100 Fund,"Large Cap Fund","Growth","37080.919","1","12.061810933463784","13.480083195351174","37.29646405594802","21.207581491856242","21.214062246912558","14.19179241238977","0.8099999999999999","13.915593595675322","13.610663794571686","Very High"
SBI Focused Equity Fund,"Focused Fund","Growth","35727.787299999996","0.73","7.6003467380243475","18.29493541417194","28.938355034120583","13.954600461690703","21.108714020197805","16.323038138932368","1.15","11.137554719057501","14.221017237202256","Very High"
Axis Bluechip Fund,"Large Cap Fund","Growth","35013.2719","0.67","11.045958795562585","16.029143897996345","33.77243222604046","10.630256959153094","17.814595799274755","14.431627033198824","0.9900000000000001","12.321793005890012","13.610663794571686","Very High"
HDFC Small Cap Fund,"Small Cap Fund","Growth","33181.8834","0.64","18.437773882559163","19.319686846984734","37.64025870410294","27.885600029178836","32.39545351195914","21.37984252112828","0.41000000000000003","15.45859576028819","16.28750641951873","Very High"
Nippon India Growth Fund,"Mid Cap Fund","Growth","32970.7829","0.79","16.968507041095645","27.870077479834467","52.19055139362351","28.79399694207878","33.27450062532886","20.45934979799222","2.6","16.73490619274575","16.199678092884174","Very High"
SBI Small Cap Fund,"Small Cap Fund","Growth","32761.165699999998","0.65","14.768674719857346","22.53709500836712","38.426453970105186","25.40772004820695","32.073029202461065","24.77784686712896","2.4899999999999998","13.525080702162187","16.28750641951873","Very High"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","31800.958700000003","0.68","11.490150049597608","15.728286292013374","38.22568662858477","23.594287592511254","24.379585699240614","16.521893691733027","1.24","13.944167709834819","13.610663794571686","Very High"
Axis Midcap Fund,"Mid Cap Fund","Growth","30854.626203","0.53","14.767381076842646","28.970041120031322","45.397350993377486","20.148670972803107","28.079257674236935","19.53899352874615","2.3800000000000003","14.242608457722906","16.199678092884174","Very High"
Aditya Birla SL Frontline Equity Fund,"Large Cap Fund","Growth","30308.910699999997","0.97","13.459031385597276","17.605534378088386","36.171504635576014","17.01933887586651","21.128539188416752","14.646482477360845","1.02","13.04884546617056","13.610663794571686","Very High"
SBI Long Term Equity Fund,"Equity Linked Savings Scheme (ELSS)","Growth","27527.242000000002","0.95","14.209874240647975","19.591959659297128","55.44459917610517","27.88205996642934","28.806163794222073","16.63832650741901","5.94","13.839395957916661","14.372334404642753","Very High"
SBI Large & Midcap Fund,"Large & Mid Cap Fund","Growth","27382.1222","0.72","12.934317315179191","19.319882874133025","35.38342736761035","21.700413049177094","25.599950247569648","17.188594737923424","0.8099999999999999","12.613883950631543","14.850980073478558","Very High"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","26396.250699999997","0.98","15.771416243486337","22.780227891686867","27.454327742591783","8.708897618260236","20.44743779860678","14.131064409457196","0.25","10.958172780167322","12.009669089922003","Very High"
Mirae Asset ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","25617.485568113","0.58","15.117906301564425","19.188183902080368","37.68423682238321","18.039530831795258","25.421000507146374","0","0.66","13.683825780826062","14.372334404642753","Very High"
Quant Small Cap Fund,"Small Cap Fund","Growth","25534.9859","0.64","15.86661614075337","18.63973744004041","54.543633145830356","34.115594282917925","51.742114298911844","22.80138086007717","2.32","19.963781092768976","16.28750641951873","Very High"
Kotak Equity Opp Fund,"Large & Mid Cap Fund","Growth","25074.698500000002","0.47","11.377408361167063","21.29542215064512","42.47714168711199","22.429833314521417","26.600591853092006","18.48454337927872","0.53","15.160155012400104","14.850980073478558","Very High"
Canara Rob Emerg Equities Fund,"Large & Mid Cap Fund","Growth","24593.6512","0.55","14.397864656932018","23.98009103671247","41.317945982640744","18.26940210473289","26.159624735651764","19.528308847475206","1.8900000000000001","13.804472040610609","14.850980073478558","Very High"
Axis Small Cap Fund,"Small Cap Fund","Growth","23399.147305000002","0.54","17.838616714697412","22.694538907781556","38.876938752405756","24.674667432467867","31.965855427382685","22.060794236687297","1.82","13.925118300395154","16.28750641951873","Very High"
HDFC Large and Mid Cap Fund,"Large & Mid Cap Fund","Growth","23046.869599999998","0.82","14.88239949800242","20.291343236273946","44.4080668431817","26.03940235885098","27.92456184014471","15.416795168303299","1.5599999999999998","14.860126813725381","14.850980073478558","Very High"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22815.7795","0.82","12.184062299342814","16.50603720425952","31.220884416547467","15.394779371515055","20.12314042492036","16.121576411451844","-0.24","12.35195457083615","12.009669089922003","Very High"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","22792.009100000003","0.84","15.01275510204082","20.39595067003301","38.607732027194146","16.93579984391096","22.646162999240914","16.356557079734092","1.32","13.452057965976806","12.009669089922003","Very High"
ICICI Pru India Opp Fund,"Thematic Fund","Growth","22658.799789593802","0.57","15.331325301204808","21.748807631160574","46.704980842911866","31.49657051533339","32.12377383073499","0","5.79","10.837526520382776","15.89147520879548","Very High"
ICICI Pru Asset Allocator Fund,"Flexi Cap Fund","Growth","22108.938470708603","0.08","6.481147377609167","10.619583552743142","22.758354974753328","15.078967468490202","16.69701113564703","13.40375942250649","0","4.484548472254481","12.009669089922003","High"
SBI Magnum Midcap Fund,"Mid Cap Fund","Growth","21127.4538","0.78","12.713208936748325","22.535095313960237","36.69000275511842","24.284394284553667","31.169592390391543","19.167297683364115","1.68","12.85993882256055","16.199678092884174","Very High"
DSP Midcap Fund,"Mid Cap Fund","Growth","20014.363999999998","0.7","16.900466205339416","29.206204941770913","43.46398241668021","19.53478139531539","25.8013826041378","18.49663459288051","1.8599999999999999","15.107769136441025","16.199678092884174","Very High"
UTI Nifty 50 Index Fund,"Index Fund","Growth","19848.1785","0.18","11.523561786158497","13.240052812596785","29.624521312999917","14.317238293176304","19.35136500123442","13.070282905888497","0.06","13.247276814500406","16.810240981878653","Very High"
SBI Multicap Fund,"Multi Cap Fund","Growth","18053.0682","0.9","13.50339590352425","22.371730654193478","37.75333041263042","0","0","0","2.15","12.513874551073302","14.929170479189015","Very High"
HDFC Index Fund-NIFTY 50 Plan,"Index Fund","Growth","17621.2824","0.2","11.49619513671305","13.206657239652104","29.57874166664434","14.276635147167704","19.25120848634969","13.026896931431953","0.04","13.247276814500406","16.810240981878653","Very High"
Kotak Small Cap Fund,"Small Cap Fund","Growth","17507.1115","0.48","17.930955021387508","29.15758051350402","40.68216668026818","23.681956226251","36.03202127437304","22.187947147651023","1.7000000000000002","13.98067907792751","16.28750641951873","Very High"
Mirae Asset Midcap Fund,"Mid Cap Fund","Growth","17454.587657580698","0.57","16.490757478570174","22.14986700908006","42.59609550662052","23.849207159718034","32.239337293420434","0","1.21","15.28080127218465","16.199678092884174","Very High"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","17417.266658862","0.94","13.79649202497426","18.083012975011076","43.132644677090816","22.82067617390029","26.147511662268876","17.129662154866686","2.75","13.239339560567212","12.009669089922003","Very High"
Invesco India Contra Fund,"Contra Fund","Growth","17268.7863","0.51","18.85612153708668","25.897294312534513","52.072415435921855","23.52381015190419","26.815446894760875","19.23441241864847","3.7800000000000002","14.92203739440429","14.782253533469714","Very High"
DSP ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","17267.834199999998","0.69","17.45068398838568","23.95412938231043","49.18774536363724","21.82116584083309","26.508741740502195","18.389053267398747","3.01","14.87441387080513","14.372334404642753","Very High"
HSBC Small Cap Fund,"Small Cap Fund","Growth","16905.181361358","0.68","17.198516060171045","24.60735395716588","42.49163884491704","30.424227288415608","34.244073482092816","22.53937867691791","0.9900000000000001","16.78252971634491","16.28750641951873","Very High"
Aditya Birla SL ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","16819.8262","0.89","13.380163907007873","19.961068837373933","36.89418416801293","14.063452529609632","17.4592672900306","14.230680199620771","0.9900000000000001","13.064719974036949","14.372334404642753","Very High"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","16772.2168770459","0.73","14.853195164075983","20.616686819830715","46.04685212298681","23.621211083408223","0","0","4.5","12.321793005890012","12.009669089922003","Very High"
HDFC Multi Cap Fund,"Multi Cap Fund","Growth","16699.418999999998","0.55","16.290157793166088","21.894336030461684","45.32557809618385","0","0","0","1.83","14.868064067658574","14.929170479189015","Very High"
Nippon India ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","16465.3927","1.01","13.965808593722157","19.89318602517163","43.21953997469194","21.13219826503081","23.675350867860168","13.074912870962585","1","15.145867955320355","14.372334404642753","Very High"
HDFC ELSS Tax saver,"Equity Linked Savings Scheme (ELSS)","Growth","16145.241100000001","1.09","11.961584248876468","18.281420542347643","46.17566145089652","25.304488476668794","24.447865848680948","14.518180125309698","4.6899999999999995","12.29956869487707","14.372334404642753","Very High"
DSP Small Cap Fund,"Small Cap Fund","Growth","16084.6248","0.81","23.68194425804142","24.999576125105268","38.902461235076515","27.312217902465274","34.39010745242825","21.642573551018284","0.8500000000000001","15.906256882120319","16.28750641951873","Very High"
ICICI Pru Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","15746.1030373212","0.82","14.926131356591162","21.227895582944193","48.3605021547686","27.487016075157555","28.103547020629872","16.97535146795306","4.590000000000001","12.623408655351376","14.850980073478558","Very High"
ICICI Pru ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","14563.5584884162","1.06","16.17800051458168","19.294033862482475","38.8380145181343","18.10994778933077","22.534805055028627","15.140875830910172","2.63","11.704274649887536","14.372334404642753","Very High"
Canara Rob Bluechip Equity Fund,"Large Cap Fund","Growth","14528.6768","0.46","12.763945792625277","17.600657354149547","36.617029400534555","15.98774199414217","22.99825700290632","15.760661527829821","1.4500000000000002","12.780566283228612","13.610663794571686","Very High"
Franklin India Smaller Cos Fund,"Small Cap Fund","Growth","14474.510821312","0.91","15.606709620694868","24.764751965811858","48.18256800798466","30.721783483392162","33.150942474292975","20.40948097718114","3.37","15.723700041656864","16.28750641951873","Very High"
Kotak Multicap Fund,"Multi Cap Fund","Growth","14473.7545","0.38","17.063291139240516","21.8195655992038","55.43437663404795","0","0","0","2.78","16.69045757071986","14.929170479189015","Very High"
Motilal Oswal Midcap Fund,"Mid Cap Fund","Growth","14445.5545","0.58","21.789611894268113","35.190892118258915","62.42469473640565","38.854076818535944","36.17191813042746","22.827922786868605","7.59","16.2618458583274","16.199678092884174","Very High"
Axis Focused Fund,"Focused Fund","Growth","14074.712499","0.79","11.548602566356125","20.212161394203452","32.92836196062002","7.111954661486797","16.738865678267835","14.88070183523691","0.77","12.694843940750118","14.221017237202256","Very High"
DSP Equity Opportunities Fund,"Large & Mid Cap Fund","Growth","13938.792099999999","0.67","17.605629119253003","24.6630654129839","50.8225244838299","22.085476369553845","26.357597076720918","18.208686407421347","3.42","14.945849156203874","14.850980073478558","Very High"
ICICI Pru Multicap Fund,"Multi Cap Fund","Growth","13920.8580957337","0.94","16.332790061984262","21.36182290411545","47.763578274760384","24.43402151741363","25.750771734642043","17.4005217883604","4.55","12.366241627915898","14.929170479189015","Very High"
Axis Growth Opp Fund,"Large & Mid Cap Fund","Growth","13883.281299","0.56","12.405303030303031","21.577330146807785","41.365621278285026","18.611241823817124","26.78517835414249","0","3.0300000000000002","12.32496790746329","14.850980073478558","Very High"
HSBC Value Fund,"Value Fund","Growth","13819.921827934999","0.77","13.177014926748788","18.884303001610068","50.29460867351435","26.808045293708172","28.835229818565544","19.533195648610047","2.03","17.147643397271825","15.249834309412938","Very High"
HDFC Focused 30 Fund,"Focused Fund","Growth","13794.798799999999","0.49","11.55011200493366","18.86554500033824","44.14618711106425","29.40542282111469","26.674677769784203","15.508347315096337","5.1499999999999995","10.92324886286127","14.221017237202256","Very High"
UTI Large Cap Fund,"Large Cap Fund","Growth","13594.6023","0.9","12.501931649660156","17.888452435610244","32.23673315802296","14.027526202663232","20.393599101945227","13.983807604430787","0.98","11.842382868325108","13.610663794571686","Very High"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","13510.365800000001","0.53","13.274522159210253","18.57587084210195","37.57151707299295","16.120906270294345","23.63947756307121","15.514603000206485","1.29","12.950423517398958","12.009669089922003","Very High"
ICICI Pru Technology Fund,"Sectoral Fund - Technology","Growth","13422.3671201514","0.91","26.85420611306466","20.455129192993283","39.30374858908097","12.556942182922048","29.56189185434619","19.78708441268262","1.1199999999999999","15.582416921646013","15.652793906520333","Very High"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","13031.388400000002","0.69","13.700234192037462","22.087175188600167","38.384798099762456","12.792827114239058","19.952276476313212","0","1.16","13.577466578121266","12.009669089922003","Very High"
HDFC Manufacturing Fund,"Thematic Fund","Growth","13003.0118","0.37","10.615020697811943","0","0","0","0","0","-0.47000000000000003","17.55085589707807","15.89147520879548","Very High"
UTI Mid Cap Fund,"Mid Cap Fund","Growth","12646.3408","0.87","18.891665384821998","27.96341340347356","41.04984100455512","21.7970061888225","30.325331298680112","18.160513843654293","1.6500000000000001","14.269595121095763","16.199678092884174","Very High"
Franklin India Focused Equity Fund,"Focused Fund","Growth","12545.874020960999","0.95","12.079522646153283","17.879893895353003","38.76212268579685","20.974048791959945","24.721771098353894","17.339753592492734","1.94","12.91073724773299","14.221017237202256","Very High"
Franklin India Prima Fund,"Mid Cap Fund","Growth","12529.287405912999","0.94","17.206519059014326","28.661948401287624","52.053966617141946","23.968384507288288","27.038794584426974","18.897627038543142","3.73","15.444308703208442","16.199678092884174","Very High"
Sundaram Mid Cap Fund,"Mid Cap Fund","Growth","12465.380686999999","0.91","18.75585023950463","27.862595580686666","54.68285436930224","26.938566013056953","28.551879283415715","18.216282537211725","4.36","15.68718867356417","16.199678092884174","Very High"
Canara Rob Small Cap Fund,"Small Cap Fund","Growth","12247.7542","0.42","19.20251836306401","24.59555799287085","42.445141065830725","27.063709713621687","39.02280727650147","0","1.6","15.668139264124505","16.28750641951873","Very High"
HSBC Midcap Fund,"Mid Cap Fund","Growth","11882.091326884001","0.67","16.96578632645034","26.07603372043424","57.61072471568824","25.519606971571275","28.773798502058945","19.84574648750417","3.81","17.706426074168665","16.199678092884174","Very High"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","11879.3298","0.67","17.693734750257093","25.568511865063133","39.57862515096076","17.5124818130856","24.27136573732902","16.33265948936078","0.77","14.369604520654006","12.009669089922003","Very High"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","11466.1301","0.89","19.52859521083934","28.399137268897448","53.605728512855976","19.492705291004462","20.570423074898514","17.70770065744294","4.89","16.09833842730361","12.009669089922003","Very High"
Tata Digital India Fund,"Sectoral Fund - Technology","Growth","11377.3248590419","0.36","27.785408744239678","21.546563651137046","44.42224442224442","15.01616052595216","29.61718354322551","0","4.8500000000000005","16.587273269588344","15.652793906520333","Very High"
PGIM India Midcap Opp Fund,"Mid Cap Fund","Growth","11268.0567","0.45","14.093343534812561","22.530813475760066","33.8119167264896","17.99091586308432","34.67418519937795","18.759933057312715","0.27999999999999997","13.688588133185979","16.199678092884174","Very High"
Quant Active Fund,"Multi Cap Fund","Growth","11262.2266","0.58","9.007775725248463","14.260291476383188","41.37669639497369","23.810617485125096","35.59286497409202","21.70122718456455","-1.13","18.487451861194934","14.929170479189015","Very High"
ICICI Pru Business Cycle Fund,"Thematic Fund","Growth","11214.9099366309","0.73","10.129986553115204","14.332247557003265","46.77419354838712","25.80464182137394","0","0","4.67","12.16939773037269","15.89147520879548","Very High"
ICICI Pru Nifty 50 Index Fund,"Index Fund","Growth","11115.3711528395","0.17","11.506131787011467","13.194719114509446","29.552775771086107","14.282824427546892","19.33755009451239","12.927026136005338","0.04","13.244101912927128","16.810240981878653","Very High"
Quant ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","11065.416399999998","0.65","6.923065944835074","11.833240329162615","48.11531789193439","26.655089536290877","38.836831536250656","24.61682010816755","1.91","17.70166372180875","14.372334404642753","Very High"
SBI Energy Opportunities Fund,"Sectoral Fund - Energy & Power","Growth","10894.328500000001","0.56","14.3691304559389","15.667014428849836","0","0","0","0","6.950000000000001","22.592599595442753","17.85564644811271","Very High"
UTI Value Fund,"Value Fund","Growth","10355.9752","1.13","17.668495582766397","26.1770344835004","47.37385530901846","20.918861956145896","25.57750278815942","15.001464690682443","3.6900000000000004","13.294900338099568","15.249834309412938","Very High"
Bandhan Sterling Value Fund,"Value Fund","Growth","10241.884100000001","0.68","13.230934534674487","17.294256480401234","40.36798099914945","25.031053737198363","30.235855465564264","18.3787646348609","1.73","13.601278339920848","15.249834309412938","Very High"
ICICI Pru Focused Equity Fund,"Focused Fund","Growth","9745.363361775899","0.56","14.775160599571734","23.817629179331313","50.495049504950494","24.83429172534617","27.512726813006026","16.428375405662045","5.88","12.23448321262488","14.221017237202256","Very High"
Quant Mid Cap Fund,"Mid Cap Fund","Growth","9367.3807","0.58","5.752824519582744","13.900708623336206","51.17728914542924","31.78935267575924","39.62563091266746","21.247340782175627","1.8499999999999999","19.531994478803234","16.199678092884174","Very High"
Kotak Bluechip Fund,"Large Cap Fund","Growth","9292.3584","0.59","12.181486101211686","17.5231547960942","36.557982576340606","16.691912415291664","22.49136956817155","15.495952515842859","0.8699999999999999","13.150442316515441","13.610663794571686","Very High"
SBI Dividend Yield Fund,"Dividend Yield Fund","Growth","9207.0304","0.76","12.463764085951249","17.098063059150537","39.98390571866158","0","0","0","2.1999999999999997","12.978997631558457","15.112472694327353","Very High"
Canara Rob ELSS Tax Saver,"Equity Linked Savings Scheme (ELSS)","Growth","8875.702600000011","0.51","15.011574074074073","19.983095870562682","39.4275291146345","17.452096980998654","25.69202793131784","16.528246947037808","1.6","13.309187395179318","14.372334404642753","Very High"
Tata Equity P/E Fund,"Value Fund","Growth","8864.6392210004","0.8","17.983268315682103","24.4487419870433","55.15827503468323","26.841336582355613","26.28033796560729","18.325886908333544","2.93","17.077795562659723","15.249834309412938","Very High"
Nippon India Focused Equity Fund,"Focused Fund","Growth","8851.9157","1.15","14.104398171969194","20.572060637607585","33.3028838336807","19.02802274607702","25.011872442910963","16.814696440916777","0.48","12.639283163217764","14.221017237202256","Very High"
ICICI Pru Smallcap Fund,"Small Cap Fund","Growth","8769.8067536636","0.69","16.083286437816554","21.527041357370088","36.212361331220286","26.17177894197995","33.4486914403811","18.658299981527616","0.79","14.50295038673166","16.28750641951873","Very High"
Nippon India Value Fund,"Value Fund","Growth","8751.5239","1.15","15.405497286958452","20.273994610381042","54.438636366427104","25.634384685771572","28.790292151216136","18.405166941474207","3.45","16.398366625978333","15.249834309412938","Very High"
Nippon India Pharma Fund,"Sectoral Fund - Pharma & Health Care","Growth","8647.9455","0.92","18.855655732384662","22.728764045421954","51.46011170649513","19.24702271579426","30.832680165386783","17.38753270228146","1.18","11.785234640006111","12.578727723454275","Very High"
