Name,Sub Category,Plan,AUM,% Debt Holding,% Equity Holding,% Largecap Holding,% Midcap Holding,% Other Holdings,% Smallcap Holding,PE Ratio,Category PE Ratio,Sharpe Ratio,Sortino Ratio
360 ONE ELSS Tax Saver Nifty 50 Index Fund,Equity Linked Savings Scheme (ELSS),Growth,74.19996252,0,99.22473242,98.62561061,0.599121812,0,0,33.31057645,46.38221991,1.841442913,0.1777
360 ONE Flexicap Fund,Flexi Cap Fund,Growth,867.5863450889191,0,96.76955285,54.21467876,15.73517271,0,26.81970138,51.05149649,46.38817077,2.782801229,0.2502
360 ONE Focused Equity Fund,Focused Fund,Growth,7986.594618,0,98.5319421,72.95350614,8.613171929,0,16.96526403,36.3784204,48.38527187,2.041461712,0.1805
360 ONE Quant Fund,Thematic Fund,Growth,427.31662221277804,0,99.24655082,68.36085862,30.8856922,0,0,43.1652982,47.61217315,2.739940058,0.2459
Aditya Birla SL Asset Allocator FoF,Flexi Cap Fund,Growth,225.6025,0,0,0,0,0,0,0,46.38817077,2.211318946,0.1932
Aditya Birla SL Banking & Financial Services Fund,Sectoral Fund - Banks & Financial Services,Growth,3255.8032000000003,0,97.41956455,64.05127927,16.18783039,0,17.18045489,21.87681069,26.73359809,1.142964566,0.1046
Aditya Birla SL Business Cycle Fund,Thematic Fund,Growth,1882.7864000000002,0,95.64709518,59.72164447,13.61705183,0,20.90519668,41.21756813,47.61217315,2.187507184,0.2094
Aditya Birla SL Digital India Fund,Sectoral Fund - Technology,Growth,5138.2026000000005,0,98.01202467,63.71857349,7.186767995,0,22.72486492,44.45562706,48.53834794,1.793819389,0.2244
Aditya Birla SL Dividend Yield Fund,Dividend Yield Fund,Growth,1561.8395,0,96.45879746,52.9915782,13.08949479,0,24.92361731,30.08669465,34.07365251,2.463723621,0.2239
Aditya Birla SL ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),Growth,16819.8262,0,98.60323349,65.04936478,18.54808167,0,15.00578704,41.87960342,46.38221991,2.282754231,0.2096
Aditya Birla SL Equity Advantage Fund,Large & Mid Cap Fund,Growth,6281.3938,0,98.16555364,45.72117577,37.22364135,0,15.22073652,47.06744066,47.97918109,1.852555068,0.1629
