Name,Sub Category,Plan,AUM,Time since inception,Benchmark,Exit Load,Lock-in,Minimum Lumpsum,Minimum SIP,NAV
360 ONE ELSS Tax Saver Nifty 50 Index Fund,Equity Linked Savings Scheme (ELSS),Growth,74.19996252,22,NIFTY 50 - TRI,0,3,500,500,14.0336
360 ONE Flexicap Fund,Flexi Cap Fund,Growth,867.5863451,16,BSE 500 - TRI,1,0,1000,0,15.9014
360 ONE Focused Equity Fund,Focused Fund,Growth,7986.594618,120,BSE 500 - TRI,1,0,1000,0,55.5427
360 ONE Quant Fund,Thematic Fund,Growth,427.3166222,35,BSE 200 - TRI,1,0,1000,1000,21.1342
Aditya Birla SL Asset Allocator FoF,Flexi Cap Fund,Growth,225.6025,119,CRISIL Hybrid 50+50 - Moderate Index,1,0,1000,100,33.6569
Aditya Birla SL Banking & Financial Services Fund,Sectoral Fund - Banks & Financial Services,Growth,3255.8032,130,Nifty Financial Services - TRI,1,0,1000,0,63.73
Aditya Birla SL Business Cycle Fund,Thematic Fund,Growth,1882.7864,34,BSE 500 - TRI,1,0,500,0,16.12
Aditya Birla SL Digital India Fund,Sectoral Fund - Technology,Growth,5138.2026,141,BSE TECk Index - TRI,1,0,1000,0,207.97
Aditya Birla SL Dividend Yield Fund,Dividend Yield Fund,Growth,1561.8395,141,NIFTY 500 - TRI,1,0,1000,0,527.9
Aditya Birla SL ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),Growth,16819.8262,141,NIFTY 500 - TRI,0,3,500,0,67.79
Aditya Birla SL Equity Advantage Fund,Large & Mid Cap Fund,Growth,6281.3938,141,NIFTY LargeMidcap 250 - TRI,1,0,1000,100,1038.27
Aditya Birla SL ESG Integration Strategy Fund,Thematic Fund,Growth,695.6805,46,NIFTY100 ESG - TRI,1,0,500,0,19.27
Aditya Birla SL Financial Planning FOF Conservative Plan,Flexi Cap Fund,Growth,19.1686,141,CRISIL Short Term Debt Hybrid 75+25 Index,1,0,100,1000,34.6728
Aditya Birla SL Financial Planning FOF Moderate Plan,Flexi Cap Fund,Growth,36.9942,141,CRISIL Hybrid 50+50 - Moderate Index,1,0,100,0,43.7036
Aditya Birla SL Flexi Cap Fund,Flexi Cap Fund,Growth,22792.0091,141,NIFTY 500 - TRI,1,0,100,0,1983.74
Aditya Birla SL Focused Fund,Focused Fund,Growth,7929.4573,141,NIFTY 500 - TRI,1,0,1000,0,158.218
Aditya Birla SL Frontline Equity Fund,Large Cap Fund,Growth,30308.9107,141,NIFTY 100 - TRI,1,0,100,0,583.1
Aditya Birla SL India GenNext Fund,Sectoral Fund - Consumption,Growth,5786.1602,141,Nifty India Consumption - TRI,1,0,1000,100,255.26
Aditya Birla SL Infrastructure Fund,Sectoral Fund - Infrastructure,Growth,1278.2626,141,Nifty Infrastructure - TRI,1,0,1000,100,109.5
