Name,Sub Category,Plan,AUM,Expense Ratio,Absolute Returns - 3M,Absolute Returns - 6M,Absolute Returns - 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,Alpha,Volatility,Category St Dev,SEBI Risk Category
HDFC Balanced Advantage Fund,Balanced Advantage Fund,Growth,94048.2406,0.73,9.458041749621476,12.532249860582544,36.82078512991946,24.984513904164917,23.048172899730048,15.739803773663574,0,11.140729620630779,8.068091893826997,Very High
SBI Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,73077.96639999999,0.73,8.542771065366416,14.123371128786593,26.755402677035825,12.90305882836671,17.03416303,13.992593858218715,0.2,9.408820812407898,10.912533570051444,Very High
ICICI Pru Balanced Advantage Fund,Balanced Advantage Fund,Growth,60135.00324,0.85,7.606755457915703,10.489214718736779,23.70955012,14.490906266389736,15.773134172700498,12.633128263023607,0,5.529091089862781,8.068091893826997,Very High
Kotak Equity Arbitrage Fund,Arbitrage Fund,Growth,51569.8967,0.43,1.7803337113235196,4.132724515,8.555763211,6.817733303262585,6.076772028,6.6328421215585465,0.98,1.0048563479423316,1.0062546556565208,Low
ICICI Pru Multi-Asset Fund,Multi Asset Allocation Fund,Growth,46488.14328,0.73,7.9269218692174235,13.342608013136745,31.103829791826442,23.145610337198175,23.230319962131894,15.765152043023779,0,7.567377899906942,8.874106690820252,Very High
ICICI Pru Equity & Debt Fund,Aggressive Hybrid Fund,Growth,39090.929910331804,0.99,10.838180856689585,13.316032762955151,37.33128030402305,23.861157781624833,25.083922881972633,17.471425755172064,2.8899999999999997,10.134285821901807,10.912533570051444,Very High
SBI Arbitrage Opportunities Fund,Arbitrage Fund,Growth,32546.2164,0.43,1.745658384477427,4.0109571204392696,8.207908550397276,6.768307022838571,5.752615472,6.393697705045365,0.88,0.9985065447957765,1.0062546556565208,Low
SBI Balanced Advantage Fund,Balanced Advantage Fund,Growth,32144.8955,0.68,6.2806959127611774,9.383366532,23.96834644140207,15.282230544712249,0,0,0,6.3275788355420755,8.068091893826997,Moderately High
HDFC Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,24596.0129,1.02,8.933398017880656,11.630549612492564,23.85886802860463,15.31594816712274,18.46613121537526,11.602913039290774,0,9.694561954002873,10.912533570051444,Very High
ICICI Pru Equity-Arbitrage Fund,Arbitrage Fund,Growth,23541.697599689098,0.32,1.7833437107176808,4.073683673132297,8.255109658918741,6.547194691153657,5.856001199573169,6.526826849676226,0.91,0.9635826274897239,1.0062546556565208,Low
Invesco India Arbitrage Fund,Arbitrage Fund,Growth,17654.1921,0.39,1.7893061464906328,4.090440154044309,8.430176286437105,6.977541258024522,6.15929423,6.603665443042583,0.9900000000000001,0.9953316432224991,1.0062546556565208,Low
Kotak Balanced Advantage Fund,Balanced Advantage Fund,Growth,16795.0821,0.51,8.862233019536397,13.062447434819171,23.707367573474432,13.164253813784011,15.2549948,0,0,6.838737988839754,8.068091893826997,Very High
Nippon India Arbitrage Fund,Arbitrage Fund,Growth,15616.725400000001,0.38,1.7378939884667026,4.029494236161592,8.281919983344878,6.648858867,5.999338968811596,6.704570133552501,0.96,0.9572328243431689,1.0062546556565208,Low
HDFC Arbitrage-WP,Arbitrage Fund,Growth,14838.82,0.41,1.7716640796445942,4.0437756497948065,8.298684285470188,6.458810991356856,5.714891364740038,6.272698140794186,0.91,0.9778696845694728,1.0062546556565208,Low
HDFC Arbitrage Fund,Arbitrage Fund,Growth,14838.82,0.41,1.7761269626878264,4.045704028444189,8.303988502,6.461897631217273,5.717179751032608,6.273121538495263,0.91,0.9731073322095565,1.0062546556565208,Low
Aditya Birla SL Arbitrage Fund,Arbitrage Fund,Growth,13208.8193,0.29,1.772559330870189,4.048077925789737,8.345264715818598,6.564638439555193,5.917928540905804,6.544642938568335,0,0.9778696845694728,1.0062546556565208,Low
Edelweiss Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,12117.0282,0.5,9.059763989,12.48527679623086,27.730717788675875,14.005765919336577,18.784627898974946,12.98656142156367,0,9.440569828140672,9.410959693,Very High
Edelweiss Arbitrage Fund,Arbitrage Fund,Growth,12007.184099999999,0.39,1.738768934965044,4.049723375,8.407670116336373,6.763727495010374,6.128266944289762,6.750068066774295,0.98,1.0064437987289703,1.0062546556565208,Low
Tata Arbitrage Fund,Arbitrage Fund,Growth,11915.76866,0.29,1.7907134930011082,4.105155243116572,8.417729241657005,6.622744300968364,6.191956809755572,0,1.02,0.9572328243431689,1.0062546556565208,Low
Canara Rob Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,11094.5903,0.56,12.174156516869669,15.876091860935958,31.044746827162093,14.651522234263247,19.994665945633237,14.910917582585824,0.31,10.623220664186546,10.912533570051444,Very High
ICICI Pru Equity Savings Fund,Equity Savings,Growth,10938.676936236401,0.5,4.151459854014583,5.939675174013909,11.040856031128403,9.329577258909838,9.563910305120693,0,0,1.9763762293652491,4.329132630657028,Moderately Low
SBI Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,10106.5506,0.62,5.6129454024390535,8.623584109047806,15.118646436960432,10.999319926689566,12.52222784767396,10.649929671985792,0,3.476517222738872,3.4634472112622134,High
DSP Equity & Bond Fund,Aggressive Hybrid Fund,Growth,10093.5564,0.68,14.002186010121283,20.631490169205634,31.852843489459776,14.847613328964115,19.910930387576297,15.088263247222544,1.41,10.01840191447718,10.912533570051444,Very High
Tata Balanced Adv Fund,Balanced Advantage Fund,Growth,10051.49799,0.35,6.729583587224057,8.927758217974016,23.033909835566888,13.910230020265635,16.566541359707298,0,0,6.913348175811776,8.068091893826997,High
Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,9294.492052363641,0.39,12.713339236100515,15.31157270029674,29.765545361875635,15.01346881,19.132821083251315,0,0.03,10.410502258776953,10.912533570051444,Very High
Nippon India Balanced Advantage Fund,Balanced Advantage Fund,Growth,8802.553399999999,0.56,8.638355916,12.420652840981449,26.789911927870698,14.084098279344825,15.826333546726534,12.018274410473007,0,7.678499454971655,8.068091893826997,Very High
Aditya Birla SL Equity Hybrid '95 Fund,Aggressive Hybrid Fund,Growth,7983.3813,1.06,10.51889452904682,16.078525916996732,29.5865951,13.135695473240183,17.134870177593097,12.967987797824776,0.47000000000000003,10.102536806169033,10.912533570051444,Very High
Aditya Birla SL Balanced Advantage Fund,Balanced Advantage Fund,Growth,7459.7141,0.63,8.777903897086645,13.31165632081979,24.485819441437545,13.39058071,15.904052487413356,12.243952325020157,0,7.776921403743258,8.068091893826997,Very High
Bandhan Arbitrage Fund,Arbitrage Fund,Growth,6966.6975,0.37,1.7860276123193357,4.118030474307181,8.365942385212854,6.587566042,5.827711319418372,6.496831975955364,1,0.9810445861427503,1.0062546556565208,Low
Kotak Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,6952.134,0.3,8.958538993089821,15.515436944008371,0,0,0,0,0,10.012052111330625,8.874106690820252,Very High
Kotak Equity Savings Fund,Equity Savings,Growth,6540.7437,0.66,6.804660958325013,9.931448598315685,22.517986880158006,14.011819695494786,13.684615165527392,0,0,5.692598520886573,4.329132630657028,Moderately High
Kotak Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,6355.0115000000005,0.43,14.033089747239872,20.15866931115517,34.47362531,18.787250027755587,22.68057004818873,0,0,10.727992416104701,10.912533570051444,Very High
UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,6189.1104000000005,1.26,13.501306860981002,18.583088137044495,36.02850576524785,19.353835283677867,21.63642294720414,13.790318263054392,2.29,9.961253686158184,10.912533570051444,Very High
UTI Arbitrage Fund,Arbitrage Fund,Growth,6025.3729,0.36,1.7377374941703616,4.062742588279917,8.309356622352148,6.487854531249471,5.880894477353915,6.475439960145057,0.9199999999999999,1.0112061510888868,1.0062546556565208,Low
HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,5893.064219,0.81,12.748009080753837,18.281687691615595,33.68154357541421,15.753844009948859,18.48048456404554,13.93326433499491,0,13.729861853638587,10.912533570051444,Very High
SBI Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,5865.7985,0.53,7.554093470450276,12.301806055114968,26.09323579819951,16.165959528186093,16.181731446278768,12.673468591007154,2.3,8.100761364217563,8.874106690820252,Very High
DSP Arbitrage Fund,Arbitrage Fund,Growth,5695.3759,0.34,1.780169737114463,4.004794472255514,8.216565182305034,6.463982367072596,5.7475654414133714,0,0.9299999999999999,1.0286681097419128,1.0062546556565208,Low
Axis Arbitrage Fund,Arbitrage Fund,Growth,5605.022295,0.31,1.7647277892754425,4.070251419,8.328000317149288,6.6700993836891875,5.951720904770297,6.647307659,1,0.9350085133302264,1.0062546556565208,Low
Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,5191.820884,0.71,11.88812171231857,14.583884577973368,30.296428124324276,14.98532819429852,19.037708805358132,14.385850337674944,0.89,9.765997239401617,10.912533570051444,High
SBI Equity Savings Fund,Equity Savings,Growth,5044.0626,0.66,5.832039283166147,8.355498644299404,16.275724054613605,11.02602030242168,13.072895486936687,0,0,4.873473914980976,4.329132630657028,Moderately High
HDFC Equity Savings Fund,Equity Savings,Growth,4872.6185,0.94,5.824535315985132,7.512765507447803,18.728416276004737,11.759493248727736,13.108904573920398,10.818000483688706,0,4.802038629582232,4.329132630657028,Moderately High
Tata Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,4241.610136,0.99,10.950882028863148,14.226597138824795,28.537931652593738,14.938925843004602,18.136925578200124,13.04409379144509,-0.14,10.388277947764008,10.912533570051444,Very High
NJ Balanced Advantage Fund,Balanced Advantage Fund,Growth,4184.631084,0.57,13.598797896318548,13.684210526315779,34.39999999999999,0,0,0,0,8.711929917073483,8.068091893826997,Very High
