Name,Sub Category,Plan,AUM,% Debt Holding,% Equity Holding,% Largecap Holding,% Midcap Holding,% Other Holdings,% Smallcap Holding,PE Ratio,Category PE Ratio,Sharpe Ratio,Sortino Ratio
360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund,Growth,805.4010665,53.94,42.40,22.59,6.46,0.00,13.34,52.19,51.18,2.92,0.26
Aditya Birla SL Arbitrage Fund,Arbitrage Fund,Growth,13208.8193,3.78,70.31,52.14,13.65,0.00,4.52,34.78,36.44,4.24,0.56
Aditya Birla SL Balanced Advantage Fund,Balanced Advantage Fund,Growth,7459.7141,21.41,72.49,57.15,10.87,0.00,4.28,39.67,39.92,2.45,0.23
Aditya Birla SL Equity Hybrid '95 Fund,Aggressive Hybrid Fund,Growth,7983.3813,19.18,77.36,55.85,9.04,0.00,12.15,47.91,44.22,2.34,0.22
Aditya Birla SL Equity Savings Fund,Equity Savings,Growth,589.6517,17.50,68.24,50.42,13.09,0.00,4.74,28.51,37.34,2.98,0.30
Aditya Birla SL Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,3508.9001000000003,15.91,65.90,41.12,12.59,0.00,11.80,53.41,41.79,2.29,0.22
Aditya Birla SL Regular Savings Fund,Conservative Hybrid Fund,Growth,1400.9191,72.04,22.10,13.49,3.34,0.00,5.27,53.42,44.92,2.81,0.27
Aditya Birla SL Regular Savings Fund(Payment),Conservative Hybrid Fund,Growth,1400.9191,72.04,22.10,13.49,3.34,0.00,5.27,53.42,44.92,2.81,0.27
Axis Arbitrage Fund,Arbitrage Fund,Growth,5605.022295,24.30,-0.36,-0.26,-0.07,0.00,-0.03,30.26,36.44,4.41,0.61
Axis Balanced Advantage Fund,Balanced Advantage Fund,Growth,2466.1165969999997,24.26,59.85,47.63,6.61,0.00,5.62,41.83,39.92,2.77,0.26
Axis Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,1682.751065,21.49,76.48,54.25,9.21,0.00,13.02,45.61,44.22,2.19,0.21
Axis Equity Saver Fund,Equity Savings,Growth,982.835901,22.62,34.86,27.23,3.56,0.00,4.08,38.87,37.34,2.67,0.25
Axis Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1288.7009483709999,11.36,67.42,45.64,10.54,0.00,11.24,45.61,41.79,1.95,0.18
Axis Regular Saver Fund,Conservative Hybrid Fund,Growth,307.918902,73.44,24.04,20.23,1.67,0.00,2.14,36.78,44.92,2.41,0.25
Bajaj Finserv Arbitrage Fund,Arbitrage Fund,Growth,823.1678999999999,1.17,-0.36,-0.23,-0.09,0.00,-0.04,36.28,36.44,3.71,0.50
Bajaj Finserv Balanced Advantage Fund,Balanced Advantage Fund,Growth,1233.470401,10.32,58.00,49.23,5.78,0.00,2.59,39.77,39.92,1.80,0.17
Bajaj Finserv Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,984.332299,18.86,63.30,37.30,12.79,0.00,12.75,33.96,41.79,4.58,0.47
Bandhan Arbitrage Fund,Arbitrage Fund,Growth,6966.6975,6.04,69.38,46.81,15.64,0.00,6.93,34.42,36.44,4.22,0.58
Bandhan Balanced Advantage Fund,Balanced Advantage Fund,Growth,2302.1729,18.20,79.35,63.29,9.80,0.00,6.25,43.73,39.92,2.60,0.24
Bandhan Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,116.2614,69.08,8.74,6.58,2.16,0.00,0.00,73.28,44.92,2.84,0.32
Bandhan Equity Savings Fund,Equity Savings,Growth,135.9923,16.23,70.71,65.25,5.45,0.00,0.00,35.49,37.34,2.60,0.27
Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,759.9196000000001,19.57,74.85,45.66,9.87,0.00,19.33,42.65,44.22,2.13,0.19
Bandhan Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1643.9084,8.52,66.95,44.12,10.12,0.00,12.71,37.81,41.79,2.74,0.26
Bank of India Arbitrage Fund,Arbitrage Fund,Growth,40.8811,8.26,-0.39,-0.31,-0.05,0.00,-0.04,34.03,36.44,3.55,0.48
Bank of India Balanced Advantage Fund,Balanced Advantage Fund,Growth,138.3298,14.90,74.52,74.13,0.39,0.00,0.00,35.30,39.92,1.74,0.16
Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,65.7985,62.06,21.91,16.87,0.85,0.00,4.19,44.33,44.92,1.98,0.17
Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund,Growth,921.1997,22.34,75.78,6.76,34.96,0.00,34.06,50.07,44.22,2.37,0.21
Bank of India Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,351.4065,49.79,37.13,22.07,5.53,0.00,9.53,51.27,41.79,1.73,0.15
Baroda BNP Paribas Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,1143.869,23.22,73.75,52.50,14.09,0.00,7.16,45.92,44.22,2.62,0.24
Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund,Growth,1220.153,25.57,-0.36,-0.21,-0.08,0.00,-0.07,32.57,36.44,4.35,0.63
Baroda BNP Paribas Balanced Advantage Fund,Balanced Advantage Fund,Growth,4065.5639,23.35,54.89,39.69,8.76,0.00,6.44,38.28,39.92,2.21,0.20
Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,750.9203,70.33,21.28,13.68,4.62,0.00,2.97,50.77,44.92,3.08,0.28
Baroda BNP Paribas Equity Savings Fund,Equity Savings,Growth,238.65919999999997,21.86,31.45,20.95,6.68,0.00,3.82,42.98,37.34,2.66,0.25
Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation Fund,Growth,1211.9502,10.37,71.03,56.80,13.17,0.00,1.05,50.21,41.79,2.44,0.23
Canara Rob Balanced Advantage Fund,Balanced Advantage Fund,Growth,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.92,8.49,1.10
Canara Rob Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,968.9686,70.45,23.36,14.12,3.17,0.00,6.08,50.16,44.92,2.79,0.26
Canara Rob Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,11094.5903,23.16,73.08,52.51,13.27,0.00,7.29,45.43,44.22,2.28,0.21
DSP Arbitrage Fund,Arbitrage Fund,Growth,5695.3759,7.54,76.90,52.37,17.76,0.00,6.78,31.62,36.44,3.93,0.53
DSP Dynamic Asset Allocation Fund,Dynamic Asset Allocation Fund,Growth,3211.6883000000003,33.10,66.27,50.34,8.65,0.00,7.28,32.85,41.83,2.82,0.26
DSP Equity & Bond Fund,Aggressive Hybrid Fund,Growth,10093.5564,28.18,70.36,45.15,15.55,0.00,9.65,41.60,44.22,2.45,0.24
DSP Equity Savings Fund,Equity Savings,Growth,1553.2701000000002,22.59,68.28,55.86,6.52,0.00,5.90,31.81,37.34,3.57,0.39
DSP Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1924.8301999999999,15.18,46.47,32.18,3.61,0.00,7.29,40.50,41.79,3.63,0.39
DSP Regular Savings Fund,Conservative Hybrid Fund,Growth,178.41009999999997,75.17,21.87,17.15,1.18,0.00,3.53,35.58,44.92,3.51,0.36
Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,1951.63,13.76,72.74,50.33,14.10,0.00,8.31,37.36,44.22,2.71,0.24
Edelweiss Arbitrage Fund,Arbitrage Fund,Growth,12007.184099999999,13.46,77.02,52.39,18.53,0.00,6.10,35.80,36.44,4.23,0.56
Edelweiss Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,12117.0282,11.48,78.39,59.11,14.67,0.00,4.60,39.51,41.83,2.35,0.21
Edelweiss Equity Savings Fund,Equity Savings,Growth,450.3295,20.38,66.73,43.74,13.86,0.00,9.13,33.51,37.34,3.71,0.36
Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1015.5304,46.35,40.09,31.74,6.83,0.00,1.53,33.20,41.79,2.10,0.23
Franklin India Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,2171.084102,17.44,66.12,47.78,8.45,0.00,9.88,43.35,41.83,3.01,0.28
Franklin India Debt Hybrid Fund,Conservative Hybrid Fund,Growth,206.5482167,66.32,24.47,16.95,3.77,0.00,3.75,45.82,44.92,3.14,0.29
Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,1985.363968,28.42,68.59,47.75,9.62,0.00,11.22,45.19,44.22,2.54,0.23
Franklin India Equity Savings Fund,Equity Savings,Growth,631.8420241,25.80,66.25,60.22,4.92,0.00,1.11,34.18,37.34,3.44,0.34
Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,44.411813525999996,18.98,75.35,73.56,1.01,0.00,0.78,36.34,44.22,2.21,0.21
HDFC Arbitrage Fund,Arbitrage Fund,Growth,14838.82,1.66,74.57,56.34,13.76,0.00,4.48,33.54,36.44,4.26,0.59
HDFC Arbitrage-WP,Arbitrage Fund,Growth,14838.82,1.66,74.57,56.34,13.76,0.00,4.48,33.54,36.44,4.25,0.60
HDFC Balanced Advantage Fund,Balanced Advantage Fund,Growth,94048.2406,28.38,65.26,52.61,5.45,0.00,7.20,30.44,39.92,2.61,0.23
HDFC Equity Savings Fund,Equity Savings,Growth,4872.6185,23.28,66.88,56.71,5.48,0.00,4.69,35.01,37.34,2.87,0.27
HDFC Hybrid Debt Fund,Conservative Hybrid Fund,Growth,3347.8965000000003,72.24,23.62,19.59,2.00,0.00,2.03,28.54,44.92,3.06,0.28
HDFC Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,24596.0129,25.77,70.07,49.28,3.19,0.00,17.59,35.09,44.22,1.90,0.17
HDFC Multi-Asset Fund,Multi Asset Allocation Fund,Growth,3348.1353000000004,13.35,66.41,55.52,2.62,0.00,8.14,35.84,41.79,2.87,0.27
Helios Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,216.59669999999997,11.26,79.69,63.84,9.18,0.00,6.67,39.61,41.83,2.01,0.16
HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,5893.064219,20.43,77.68,38.60,19.02,0.00,20.06,55.87,44.22,1.95,0.17
