Name,Sub Category,Plan,AUM,Time since inception,Benchmark,Exit Load,Lock-in,Minimum Lumpsum,Minimum SIP,NAV
360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund,Growth,805.4010665,13,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,1000,1000,12.5874
Aditya Birla SL Arbitrage Fund,Arbitrage Fund,Growth,13208.8193,141,Nifty 50 Arbitrage - TRI,0.25,0,1000,0,26.9394
Aditya Birla SL Balanced Advantage Fund,Balanced Advantage Fund,Growth,7459.7141,141,CRISIL Hybrid 50+50 - Moderate Index,0.25,0,100,0,115
Aditya Birla SL Equity Hybrid '95 Fund,Aggressive Hybrid Fund,Growth,7983.3813,141,CRISIL Hybrid 35+65 - Aggressive Index,1,0,100,100,1685.17
Aditya Birla SL Equity Savings Fund,Equity Savings,Growth,589.6517,119,NIFTY 50 Equity Savings Index - TRI,0.25,0,1000,0,22.93
Aditya Birla SL Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,3508.9001000000003,21,BSE 200,1,0,500,100,14.307
Aditya Birla SL Regular Savings Fund,Conservative Hybrid Fund,Growth,1400.9191,141,CRISIL Hybrid 85+15 - Conservative Index,1,0,500,0,69.6552
Aditya Birla SL Regular Savings Fund(Payment),Conservative Hybrid Fund,Growth,1400.9191,141,CRISIL Hybrid 85+15 - Conservative Index,1,0,1000,0,69.6552
Axis Arbitrage Fund,Arbitrage Fund,Growth,5605.022295,122,Nifty 50 Arbitrage,0.25,0,500,0,19.1278
Axis Balanced Advantage Fund,Balanced Advantage Fund,Growth,2466.1165969999997,86,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,100,100,22.58
Axis Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,1682.751065,74,CRISIL Hybrid 35+65 - Aggressive Index,1,0,500,12000,22.22
Axis Equity Saver Fund,Equity Savings,Growth,982.835901,110,NIFTY 50 Equity Savings Index,1,0,500,0,24.2
Axis Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1288.7009483709999,141,NIFTY 500 - TRI,1,0,100,0,44.8492
Axis Regular Saver Fund,Conservative Hybrid Fund,Growth,307.918902,141,NIFTY 50 Hybrid Composite Debt 15:85 Index,1,0,500,12000,33.278
Bajaj Finserv Arbitrage Fund,Arbitrage Fund,Growth,823.1678999999999,13,Nifty 50 Arbitrage,0.25,0,500,1000,10.748
Bajaj Finserv Balanced Advantage Fund,Balanced Advantage Fund,Growth,1233.470401,10,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,500,1000,11.532
Bajaj Finserv Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,984.332299,4,Nifty Short Duration Debt Index,1,0,500,1000,10.9659
Bandhan Arbitrage Fund,Arbitrage Fund,Growth,6966.6975,141,Crisil 1 Yr T-Bill Index,0.25,0,100,100,33.0657
Bandhan Balanced Advantage Fund,Balanced Advantage Fund,Growth,2302.1729,120,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,1000,100,27.009
Bandhan Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,116.2614,141,CRISIL Hybrid 85+15 - Conservative Index,0.25,0,1000,100,34.3888
Bandhan Equity Savings Fund,Equity Savings,Growth,135.9923,141,Crisil Equity Savings Index,0.25,0,1000,0,32.857
Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,759.9196000000001,94,CRISIL Hybrid 35+65 - Aggressive Index,1,0,1000,100,27.847
Bandhan Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1643.9084,9,NIFTY 500 - TRI,0.5,0,1000,0,11.7802
Bank of India Arbitrage Fund,Arbitrage Fund,Growth,40.8811,76,Nifty 50 Arbitrage,0.5,0,5000,0,13.6178
Bank of India Balanced Advantage Fund,Balanced Advantage Fund,Growth,138.3298,127,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,5000,0,26.9943
Bank of India Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,65.7985,141,CRISIL Hybrid 85+15 - Conservative Index,1,0,10000,0,35.367
Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund,Growth,921.1997,99,CRISIL Short Term Bond Index,1,0,5000,0,42.57
Bank of India Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,351.4065,8,NIFTY Composite Debt Index,1,0,5000,0,11.0477
Baroda BNP Paribas Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,1143.869,90,CRISIL Hybrid 35+65 - Aggressive Index,1,0,5000,500,31.559
Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund,Growth,1220.153,94,Nifty 50 Arbitrage,0.25,0,5000,500,16.0144
Baroda BNP Paribas Balanced Advantage Fund,Balanced Advantage Fund,Growth,4065.5639,71,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,5000,1500,25.5626
Baroda BNP Paribas Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,750.9203,141,CRISIL Hybrid 85+15 - Conservative Index,1,0,1000,0,51.5999
Baroda BNP Paribas Equity Savings Fund,Equity Savings,Growth,238.65919999999997,63,NIFTY 50 Equity Savings Index - TRI,1,0,5000,1500,16.8236
Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation Fund,Growth,1211.9502,22,Gold-India,1,0,5000,500,14.8363
Canara Rob Balanced Advantage Fund,Balanced Advantage Fund,Growth,0,2,CRISIL Hybrid 50+50 - Moderate Index,1,0,5000,0,10.35
Canara Rob Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,968.9686,141,CRISIL Hybrid 85+15 - Conservative Index,1,0,5000,0,105.2263
Canara Rob Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,11094.5903,141,CRISIL Hybrid 35+65 - Aggressive Index,1,0,5000,0,400.63
DSP Arbitrage Fund,Arbitrage Fund,Growth,5695.3759,81,Nifty 50 Arbitrage,0.25,0,100,100,14.751
DSP Dynamic Asset Allocation Fund,Dynamic Asset Allocation Fund,Growth,3211.6883000000003,128,CRISIL Hybrid 50+50 - Moderate Index,1,0,100,100,29.967
DSP Equity & Bond Fund,Aggressive Hybrid Fund,Growth,10093.5564,142,CRISIL Hybrid 35+65 - Aggressive Index,1,0,100,0,389.045
DSP Equity Savings Fund,Equity Savings,Growth,1553.2701000000002,103,NIFTY 50 Equity Savings Index - TRI,0,0,100,100,23.217
DSP Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1924.8301999999999,13,Gold-India,1,0,100,0,12.7651
DSP Regular Savings Fund,Conservative Hybrid Fund,Growth,178.41009999999997,142,CRISIL Hybrid 85+15 - Conservative Index,0,0,100,0,62.2389
Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,1951.63,141,CRISIL Hybrid 35+65 - Aggressive Index,1,0,100,0,71.05
Edelweiss Arbitrage Fund,Arbitrage Fund,Growth,12007.184099999999,124,Nifty 50 Arbitrage,0.1,0,100,100,19.5781
Edelweiss Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,12117.0282,141,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,100,100,57.3
Edelweiss Equity Savings Fund,Equity Savings,Growth,450.3295,120,Crisil 10 Yr Gilt Index,0.25,0,100,100,26.1466
Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1015.5304,16,CRISIL Short Term Bond Index,0.1,0,100,100,10.9659
Franklin India Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,2171.084102,25,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,5000,500,14.4319
Franklin India Debt Hybrid Fund,Conservative Hybrid Fund,Growth,206.5482167,141,CRISIL Hybrid 85+15 - Conservative Index,0,0,10000,500,94.297
Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund,Growth,1985.363968,141,CRISIL Hybrid 35+65 - Aggressive Index,1,0,5000,500,303.0276
Franklin India Equity Savings Fund,Equity Savings,Growth,631.8420241,74,NIFTY 50 Equity Savings Index,0,0,5000,0,17.0407
Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,44.411813525999996,70,CRISIL Hybrid 35+65 - Aggressive Index,1,0,100,0,23.2037
HDFC Arbitrage Fund,Arbitrage Fund,Growth,14838.82,142,Nifty 50 Arbitrage,0.25,0,0,5000,30.141
HDFC Arbitrage-WP,Arbitrage Fund,Growth,14838.82,127,Nifty 50 Arbitrage,0.25,0,100,5000,19.014
HDFC Balanced Advantage Fund,Balanced Advantage Fund,Growth,94048.2406,142,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,100,100,550.887
HDFC Equity Savings Fund,Equity Savings,Growth,4872.6185,141,NIFTY 50 Equity Savings Index - TRI,1,0,100,100,71.167
HDFC Hybrid Debt Fund,Conservative Hybrid Fund,Growth,3347.8965000000003,141,NIFTY 50 Hybrid Composite Debt 15:85 Index,1,0,100,2500,83.8825
HDFC Hybrid Equity Fund,Aggressive Hybrid Fund,Growth,24596.0129,142,NIFTY 50 Hybrid Composite Debt 65:35 Index,1,0,100,2500,125.744
HDFC Multi-Asset Fund,Multi Asset Allocation Fund,Growth,3348.1353000000004,141,NIFTY Composite Debt Index,1,0,100,1500,75.007
Helios Balanced Advantage Fund,Dynamic Asset Allocation Fund,Growth,216.59669999999997,7,CRISIL Hybrid 50+50 - Moderate Index,1,0,5000,1000,11.22
HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund,Growth,5893.064219,141,NIFTY 50 Hybrid Composite Debt 65:35 Index,1,0,5000,1500,62.5774
HSBC Arbitrage Fund,Arbitrage Fund,Growth,2462.052035,124,Nifty 50 Arbitrage,0.25,0,5000,500,19.1728
HSBC Balanced Advantage Fund,Balanced Advantage Fund,Growth,1493.745603,141,NIFTY 50 Hybrid Composite Debt 50:50 Index,1,0,5000,500,48.7913
HSBC Conservative Hybrid Fund,Conservative Hybrid Fund,Growth,125.2708861,141,NIFTY 50 Hybrid Composite Debt 15:85 Index,0,0,5000,500,65.0387
HSBC Equity Savings Fund,Equity Savings,Growth,406.538424,141,NIFTY 50 Equity Savings Index,0.5,0,5000,0,35.5584
HSBC Multi Asset Allocation Fund,Multi Asset Allocation Fund,Growth,1938.916938,8,Nifty Short Duration Debt Index,1,0,5000,0,11.7904
